[2022-07-07T02:18:00-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-07-07T02:18:00-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-07-07T02:35:52-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2022-07-07T02:35:52-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2022-07-07T02:37:35-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-07-07T02:37:36-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-07-07T03:03:01-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2022-07-07T03:03:01-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2022-07-07T03:03:34-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-07-07T03:03:35-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-07-07T03:10:05-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2022-07-07T03:10:05-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2022-07-07T03:10:38-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-07-07T03:10:38-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-07-07T03:22:49-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2022-07-07T03:22:49-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2022-07-07T03:23:22-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-07-07T03:23:22-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-07-07T03:29:07-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2022-07-07T03:29:07-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2022-07-07T22:43:53-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-07-07T22:43:53-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-07-08T03:05:12-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-07-08T03:05:12-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-07-08T05:44:21-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2022-07-08T05:44:21-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2022-07-08T17:12:52-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-07-08T17:12:52-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-07-08T18:59:02-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2022-07-08T18:59:02-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2022-07-09T01:52:51-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-07-09T01:52:51-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-07-09T04:32:47-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2022-07-09T04:32:47-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2022-07-09T15:47:34-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-07-09T15:47:34-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-07-09T18:48:09-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-07-09T18:48:09-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-07-09T19:00:59-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-07-09T19:00:59-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-07-09T20:00:12-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-07-09T20:00:13-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-07-09T20:08:02-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2022-07-09T20:08:02-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2022-07-09T23:36:49-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-07-09T23:36:49-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-07-09T23:47:14-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2022-07-09T23:47:14-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2022-07-10T03:50:57-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2022-07-10T03:50:57-0700] DFHack 0.47.05-r6-0-g88ae50b9 on Windows; cwd md5: c978931b48; save: region3 - Parchedmines; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
